Pβ2,Pα1,Pβ1,Pα2,P3,ps,pt-wt,ps-wt,V,α,β
0.00842,0.0,0.00337,0.00842,0.05892,0.00673,0.0606,0.0,10.011648,0,0
0.0101,0.00168,0.00337,0.00842,0.05724,0.00673,0.0606,0.0,10.011648,0,0
0.00842,0.00337,0.00505,0.00842,0.05892,0.00842,0.0606,0.00168,10.011648,0,0
0.0101,0.00168,0.00337,0.00842,0.05724,0.00842,0.0606,0.00168,10.011648,0,0
0.01178,0.00337,0.00337,0.00842,0.05724,0.00842,0.0606,0.0,10.011648,0,0
0.00673,0.00168,0.00168,0.00673,0.05555,0.00673,0.05892,-0.00168,10.011648,0,0
0.00842,0.00505,0.00505,0.00842,0.05892,0.00842,0.0606,0.0,10.011648,0,0
0.00842,0.00505,0.00673,0.00842,0.05724,0.00842,0.0606,0.0,10.011648,0,0
0.00842,0.00337,0.00673,0.00842,0.05892,0.00842,0.0606,0.0,10.011648,0,0
0.00842,0.00168,0.00337,0.00842,0.05724,0.00842,0.0606,0.0,10.011648,0,0
0.00673,0.01347,0.00168,-0.00505,0.05219,0.00673,0.0606,-0.00337,10.009739,5,0
0.00673,0.01178,0.00168,-0.00505,0.05219,0.00337,0.0606,-0.00337,10.009739,5,0
0.00673,0.01347,0.0,-0.00505,0.05219,0.00505,0.05892,-0.00337,10.009739,5,0
0.00673,0.01347,0.0,-0.00505,0.0505,0.00337,0.05892,-0.00337,10.009739,5,0
0.00673,0.01178,0.0,-0.00505,0.0505,0.00505,0.0606,-0.00337,10.009739,5,0
0.00673,0.01347,0.00168,-0.00505,0.05387,0.00673,0.0606,-0.00337,10.009739,5,0
0.00673,0.01347,0.00168,-0.00505,0.05387,0.00505,0.06229,-0.00337,10.009739,5,0
0.00673,0.01347,0.0,-0.00505,0.05387,0.00673,0.0606,-0.00168,10.009739,5,0
0.00842,0.01347,0.00168,-0.00505,0.05387,0.00505,0.0606,-0.00337,10.009739,5,0
0.00673,0.01347,0.0,-0.00673,0.05219,0.00505,0.05892,-0.00337,10.009739,5,0
0.0,0.02188,-0.00842,-0.01852,0.04714,0.0,0.05387,-0.00673,10.041767,10,0
0.00168,0.02357,-0.00673,-0.01852,0.04714,0.0,0.05555,-0.00337,10.041767,10,0
0.0,0.02188,-0.00842,-0.01852,0.04714,0.00168,0.05555,-0.00505,10.041767,10,0
0.00168,0.02188,-0.00842,-0.01852,0.04714,0.00168,0.05724,-0.00505,10.041767,10,0
0.0,0.02188,-0.00842,-0.01683,0.04714,0.00168,0.05555,-0.00505,10.041767,10,0
0.00168,0.02357,-0.00505,-0.01515,0.0505,0.00168,0.05724,-0.00337,10.041767,10,0
0.00168,0.02188,-0.00842,-0.01852,0.04714,0.00168,0.05555,-0.00505,10.041767,10,0
0.00337,0.02188,-0.00505,-0.01515,0.0505,0.00168,0.05724,-0.00505,10.041767,10,0
0.00168,0.02188,-0.00505,-0.01515,0.04714,0.00168,0.05724,-0.00505,10.041767,10,0
0.00168,0.02357,-0.00505,-0.01515,0.04882,0.00168,0.05724,-0.00505,10.041767,10,0
0.0,0.03367,-0.00673,-0.02525,0.04545,0.0,0.05892,-0.00337,10.034729,15,0
0.0,0.03367,-0.00505,-0.02525,0.04545,0.0,0.05892,-0.00337,10.034729,15,0
0.0,0.03367,-0.00505,-0.02357,0.04545,0.00168,0.05724,-0.00337,10.034729,15,0
0.00168,0.03367,-0.00505,-0.02357,0.04882,0.00168,0.0606,-0.00168,10.034729,15,0
0.0,0.03198,-0.00505,-0.02357,0.04714,0.00168,0.05892,-0.00337,10.034729,15,0
0.0,0.03198,-0.00673,-0.02357,0.04714,0.00168,0.05892,-0.00168,10.034729,15,0
0.00168,0.03367,-0.00505,-0.02357,0.04714,0.00337,0.05892,-0.00337,10.034729,15,0
0.00168,0.03198,-0.00505,-0.02357,0.04714,0.0,0.05892,-0.00337,10.034729,15,0
0.00168,0.03367,-0.00168,-0.02357,0.04714,0.00337,0.05892,-0.00337,10.034729,15,0
0.00168,0.03367,-0.00168,-0.02357,0.04714,0.00337,0.05892,-0.00337,10.034729,15,0
-0.00505,0.0404,-0.01178,-0.03198,0.0404,-0.00505,0.05555,-0.00505,10.013854,20,0
-0.00505,0.0404,-0.0101,-0.03367,0.0404,-0.00505,0.05555,-0.00505,10.013854,20,0
-0.00505,0.0404,-0.0101,-0.03198,0.0404,-0.00337,0.05555,-0.00505,10.013854,20,0
-0.00505,0.0404,-0.0101,-0.03198,0.03872,-0.00337,0.05555,-0.00505,10.013854,20,0
-0.00505,0.0404,-0.01178,-0.0303,0.03872,-0.00505,0.05387,-0.00505,10.013854,20,0
-0.00505,0.0404,-0.0101,-0.03198,0.03872,-0.00337,0.05555,-0.00505,10.013854,20,0
-0.00337,0.04209,-0.00842,-0.0303,0.03872,-0.00505,0.05555,-0.00505,10.013854,20,0
-0.00505,0.04209,-0.0101,-0.03198,0.03872,-0.00337,0.05724,-0.00505,10.013854,20,0
-0.00505,0.04209,-0.0101,-0.03198,0.03872,-0.00505,0.05555,-0.00673,10.013854,20,0
-0.00337,0.0404,-0.0101,-0.03198,0.03872,-0.00505,0.05724,-0.00505,10.013854,20,0
-0.0101,0.04545,-0.01683,-0.0404,0.03198,-0.0101,0.05387,-0.00842,10.013615,25,0
-0.01347,0.04545,-0.01852,-0.04209,0.0303,-0.0101,0.05387,-0.00842,10.013615,25,0
-0.01178,0.04545,-0.01852,-0.0404,0.0303,-0.00842,0.05387,-0.00673,10.013615,25,0
-0.0101,0.04714,-0.01515,-0.0404,0.03198,-0.00673,0.05387,-0.00505,10.013615,25,0
-0.0101,0.04545,-0.01683,-0.0404,0.0303,-0.00842,0.05387,-0.00673,10.013615,25,0
-0.0101,0.04714,-0.01515,-0.0404,0.03198,-0.00842,0.05387,-0.00842,10.013615,25,0
-0.0101,0.04714,-0.01347,-0.0404,0.03198,-0.00673,0.05555,-0.00673,10.013615,25,0
-0.0101,0.04714,-0.01515,-0.0404,0.03367,-0.00673,0.05555,-0.00673,10.013615,25,0
-0.0101,0.04545,-0.01515,-0.04209,0.03367,-0.00673,0.05387,-0.00842,10.013615,25,0
-0.0101,0.04377,-0.01515,-0.04209,0.03198,-0.00842,0.05387,-0.00842,10.013615,25,0
-0.01683,0.05219,-0.0202,-0.04882,0.0202,-0.0101,0.05555,-0.00505,10.02466,30,0
-0.01683,0.05219,-0.02188,-0.04882,0.0202,-0.01178,0.05555,-0.00505,10.02466,30,0
-0.01852,0.04882,-0.02357,-0.04714,0.02188,-0.01347,0.05387,-0.00673,10.02466,30,0
-0.01683,0.0505,-0.02188,-0.04714,0.0202,-0.01178,0.05387,-0.00673,10.02466,30,0
-0.01515,0.05219,-0.0202,-0.04714,0.02188,-0.0101,0.05892,-0.00505,10.02466,30,0
-0.01347,0.05387,-0.0202,-0.04545,0.02188,-0.0101,0.05892,-0.00337,10.02466,30,0
-0.01347,0.05387,-0.02188,-0.04545,0.02188,-0.0101,0.05892,-0.00337,10.02466,30,0
-0.01852,0.0505,-0.02188,-0.04882,0.0202,-0.01178,0.05555,-0.00505,10.02466,30,0
-0.01683,0.0505,-0.02188,-0.04714,0.0202,-0.0101,0.05555,-0.00505,10.02466,30,0
-0.01683,0.05219,-0.02357,-0.04882,0.0202,-0.0101,0.05555,-0.00505,10.02466,30,0
-0.02525,0.05387,-0.02862,-0.05555,0.01178,-0.01515,0.05892,-0.00505,10.001586,35,0
-0.02525,0.05387,-0.0303,-0.05724,0.00842,-0.01683,0.05387,-0.00505,10.001586,35,0
-0.02357,0.05387,-0.02862,-0.05724,0.00842,-0.01515,0.05724,-0.00505,10.001586,35,0
-0.02357,0.05387,-0.02693,-0.05555,0.0101,-0.01515,0.05892,-0.00505,10.001586,35,0
-0.02357,0.05555,-0.02525,-0.05219,0.01178,-0.01347,0.05724,-0.00337,10.001586,35,0
-0.02357,0.05387,-0.02862,-0.05724,0.01178,-0.01347,0.05724,-0.00337,10.001586,35,0
-0.02525,0.05387,-0.0303,-0.05724,0.01178,-0.01683,0.05555,-0.00673,10.001586,35,0
-0.02357,0.05387,-0.02862,-0.05724,0.01178,-0.01515,0.05555,-0.00505,10.001586,35,0
-0.02525,0.05219,-0.02862,-0.05724,0.0101,-0.01515,0.05555,-0.00505,10.001586,35,0
-0.02357,0.05387,-0.02525,-0.05724,0.01178,-0.01515,0.05724,-0.00505,10.001586,35,0
-0.03367,0.05387,-0.03872,-0.06397,-0.00168,-0.0202,0.05555,-0.00505,10.044452,40,0
-0.03367,0.05387,-0.03872,-0.06565,-0.00337,-0.0202,0.05555,-0.00673,10.044452,40,0
-0.0303,0.05555,-0.03703,-0.06229,0.0,-0.01852,0.05892,-0.00337,10.044452,40,0
-0.03367,0.05387,-0.03703,-0.06397,0.00168,-0.0202,0.05724,-0.00337,10.044452,40,0
-0.03367,0.05387,-0.03703,-0.06397,0.0,-0.0202,0.05387,-0.00337,10.044452,40,0
-0.03535,0.05387,-0.03703,-0.06565,-0.00168,-0.0202,0.05555,-0.00505,10.044452,40,0
-0.03367,0.05387,-0.03872,-0.06397,-0.00168,-0.0202,0.05555,-0.00505,10.044452,40,0
-0.03367,0.05387,-0.03703,-0.06397,-0.00168,-0.0202,0.05555,-0.00505,10.044452,40,0
-0.03367,0.05555,-0.03703,-0.06229,0.0,-0.01852,0.05555,-0.00505,10.044452,40,0
